spectral_centroids,spectral_rolloff,bandwidth,zero_crossing,chromagram,rms,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,genre,filename
533.5277737718395,800.525553763051,924.1441093805385,0.01091778748549884,0.5491624474525452,0.06524579972028732,-377.37799072265625,171.50856018066406,57.39078140258789,11.353859901428223,15.290708541870117,22.073179244995117,15.42750358581543,7.186799049377441,8.077796936035156,7.190230846405029,3.329833745956421,2.7500603199005127,3.608436107635498,2.6431338787078857,-2.5732836723327637,-6.168309211730957,-3.181568145751953,-0.16764691472053528,-1.3412588834762573,-3.0097415447235107,blues,./genres/blues/blues.00093.wav
1335.5577267604513,2738.1308004640373,1786.7340442010184,0.026413636528422275,0.4407692551612854,0.1561570167541504,-217.85568237304688,181.0742950439453,-19.74713134765625,49.36689376831055,14.615495681762695,7.605918884277344,22.737211227416992,-8.78100872039795,10.840705871582031,2.9548749923706055,-8.543656349182129,2.3966238498687744,-4.8379411697387695,-0.21960942447185516,-3.7602806091308594,-3.265594482421875,0.5332368612289429,-5.350811958312988,4.214330196380615,-1.109234094619751,blues,./genres/blues/blues.00087.wav
1882.7962720352696,4036.5929411071634,2058.917583571327,0.04466810469837587,0.4857405126094818,0.17887800931930542,-160.2482452392578,183.2838134765625,-64.11798858642578,56.354618072509766,13.841771125793457,10.85987663269043,29.28162384033203,-10.335131645202637,15.958979606628418,-0.5633071660995483,-2.215514898300171,9.635391235351562,-8.527485847473145,7.7223381996154785,-0.7699630856513977,-6.608041286468506,2.090366840362549,-5.642003059387207,1.7558428049087524,-4.771684646606445,blues,./genres/blues/blues.00050.wav
2189.1903934301654,5075.749018905887,2344.539897615832,0.04908114003286929,0.4764806926250458,0.13509534299373627,-188.4109344482422,171.7941131591797,-67.0038070678711,78.53175354003906,8.815581321716309,9.069141387939453,37.272010803222656,-9.002833366394043,23.562149047851562,2.2179131507873535,-4.666706562042236,4.194166660308838,-17.233884811401367,5.451423168182373,2.394465446472168,-1.0460036993026733,0.8302766680717468,-9.472697257995605,10.019100189208984,5.435478210449219,blues,./genres/blues/blues.00044.wav
2296.0575446025287,4828.2587392147625,2206.797314886683,0.06493762990622583,0.4594382047653198,0.2534416615962982,-92.83427429199219,194.8553924560547,-85.69681549072266,58.00642776489258,-8.173136711120605,4.28917121887207,26.937997817993164,-22.690542221069336,19.410518646240234,-2.8042514324188232,-3.1834139823913574,10.186920166015625,-11.811765670776367,8.71107006072998,-4.137030124664307,-4.933741569519043,4.113372802734375,-7.417643070220947,4.220869064331055,-6.052482604980469,blues,./genres/blues/blues.00078.wav
2374.7686018677045,5118.532312663138,2325.746476474587,0.06577220188031709,0.49217402935028076,0.26836177706718445,-92.75640106201172,191.94692993164062,-86.2520751953125,68.13166809082031,-8.350506782531738,7.778212547302246,27.789653778076172,-21.086811065673828,25.35529136657715,0.13755981624126434,2.65907621383667,8.355486869812012,-12.2537202835083,12.93317985534668,-6.79661226272583,-2.3537356853485107,4.94216775894165,-11.935379028320312,1.6937609910964966,-8.937559127807617,blues,./genres/blues/blues.00079.wav
1664.96509640693,4361.847561086137,2234.5221148923915,0.025530916171210363,0.5706720948219299,0.14611096680164337,-228.2113037109375,155.3759002685547,-38.17969512939453,84.69676971435547,28.293014526367188,12.862476348876953,33.21700668334961,-4.834475994110107,19.975746154785156,4.544234752655029,-7.29785680770874,0.5467271208763123,-15.897866249084473,1.1728341579437256,3.3171372413635254,-0.8763110637664795,-2.9678492546081543,-13.189075469970703,3.538259267807007,0.6441664695739746,blues,./genres/blues/blues.00045.wav
1921.9810933574936,3864.6853701421114,1919.24719513822,0.05500830040361562,0.4446592330932617,0.19472311437129974,-138.88099670410156,197.9464569091797,-75.4211196899414,57.319786071777344,19.415159225463867,1.9995408058166504,12.404940605163574,-17.299375534057617,15.13196849822998,-2.3298873901367188,2.174666166305542,14.92198371887207,-4.399974346160889,9.68146800994873,-6.173116683959961,-8.650187492370605,3.0226995944976807,-6.263260841369629,6.500812530517578,0.5441638827323914,blues,./genres/blues/blues.00051.wav
1164.9198663902062,2267.2897445076856,1553.8954703818308,0.02536437941076953,0.4911656975746155,0.1222800612449646,-268.62542724609375,176.66738891601562,3.759397029876709,34.48453903198242,16.471895217895508,14.8584623336792,17.574405670166016,-4.863928318023682,8.630833625793457,-0.1375168263912201,-3.878838300704956,7.889631271362305,1.1710946559906006,2.3217005729675293,1.4241158962249756,-0.48128557205200195,-2.0783097743988037,-3.1333112716674805,1.1719962358474731,-6.028462886810303,blues,./genres/blues/blues.00086.wav
846.8588773127774,1350.5381856329757,1355.3507141386428,0.016645368087780357,0.5464121103286743,0.06201113015413284,-371.9383544921875,147.9574737548828,30.82891082763672,33.77836608886719,31.315200805664062,26.107519149780273,19.992023468017578,5.251594543457031,8.333285331726074,1.538291335105896,-3.0273969173431396,3.4573915004730225,-0.5935505032539368,-0.841752290725708,2.052173614501953,0.1225501000881195,-1.7730070352554321,-0.46103304624557495,1.9453442096710205,-1.8521345853805542,blues,./genres/blues/blues.00092.wav
